ticket_id,customer_id,ticket_date,issue_category,priority,resolution_time_hours,ticket_status
77,203,2025-03-21,API,Low,19.03,Closed
78,44,2025-09-30,Billing,Low,16.17,Resolved
79,269,2026-03-11,Account,Medium,23.28,Resolved
80,497,2025-06-09,API,Low,12.89,Open
81,36,2025-05-03,Technical,Low,15.99,Closed
82,12,2026-07-04,Billing,Medium,21.49,Resolved
83,134,2025-03-01,AI Output,Low,2.45,Resolved
84,24,2025-04-24,Technical,Medium,7.91,Closed
85,259,2026-06-06,Billing,Low,3.94,Resolved
86,153,2026-02-26,Performance,High,1.85,Resolved
87,402,2025-07-19,API,Medium,10.91,Resolved
88,130,2025-12-30,Account,Low,13.37,Resolved
89,12,2025-06-09,Billing,Medium,12.14,Closed
90,500,2025-02-15,Performance,Low,14.24,Resolved
91,500,2025-10-06,Technical,Medium,27.02,Resolved
92,304,2025-04-05,AI Output,Medium,16.87,Closed
93,388,2026-02-09,Performance,Medium,28.69,Resolved
94,31,2025-01-12,Billing,Medium,5.97,Closed
95,167,2026-05-09,Technical,Medium,11.78,Resolved
96,177,2025-01-20,Billing,Medium,3.22,Resolved
97,251,2025-01-04,API,Medium,16.86,Resolved
98,367,2025-10-10,AI Output,High,14.72,Closed
99,178,2025-01-10,Performance,Medium,11.05,Closed
100,66,2025-03-09,Performance,Low,25.22,Closed
101,355,2025-08-15,AI Output,Medium,49.52,Open
102,398,2025-04-27,API,Low,8.95,Closed
103,43,2026-06-20,API,Low,6.86,Closed
104,89,2025-06-03,API,Medium,11.93,Resolved
105,380,2025-07-18,Account,Low,21.56,Closed
106,15,2026-05-20,AI Output,Medium,21.53,Closed
107,346,2025-08-05,Technical,Low,11.28,In Progress
108,426,2026-02-23,AI Output,Low,4.42,Resolved
109,56,2026-08-11,Technical,High,4.79,Resolved
110,162,2025-05-11,Technical,Low,2.98,Resolved
111,140,2025-12-27,Billing,Medium,21.22,Closed
112,219,2026-08-16,Technical,Low,13.99,Closed
113,46,2026-03-16,AI Output,High,16.35,Closed
114,186,2025-08-10,Performance,High,7.65,In Progress
115,448,2026-07-24,Technical,Medium,2.02,Resolved
116,268,2026-03-12,Technical,Low,16.38,Resolved
117,395,2026-06-04,Billing,Medium,13.83,Closed
118,105,2025-07-19,API,Medium,12.62,Resolved
119,320,2026-08-06,API,Medium,4.44,Resolved
120,84,2025-05-11,Performance,Low,6.42,In Progress
121,81,2026-06-27,API,Medium,16.9,Closed
122,217,2025-07-06,Technical,Medium,5.86,Resolved
123,67,2026-07-07,API,High,18.43,Resolved
124,352,2026-06-27,Account,Critical,4.28,Resolved
125,221,2025-12-18,Billing,Low,9.77,Resolved
126,328,2025-07-21,AI Output,Low,3.77,Closed
127,444,2026-02-11,AI Output,High,11.74,Closed
128,92,2025-03-04,Performance,Medium,17.83,Resolved
129,31,2025-01-21,Performance,Medium,16.32,Resolved
130,437,2025-06-23,Billing,Low,3.27,Resolved
131,257,2025-03-10,API,Medium,16.17,Resolved
132,298,2025-07-02,Performance,Medium,6.77,Closed
133,233,2025-12-26,AI Output,Medium,1.44,Closed
134,352,2026-07-29,Performance,Critical,5.5,Resolved
135,411,2026-01-23,Billing,Medium,5.8,Resolved
136,292,2025-04-22,Performance,Medium,6.0,In Progress
137,21,2025-09-20,API,Low,12.11,Resolved
138,36,2025-05-10,Billing,Low,2.9,Resolved
139,159,2025-04-27,API,High,3.86,Open
140,335,2026-01-14,Technical,High,8.43,Resolved
141,497,2025-09-17,API,Medium,12.79,Resolved
142,370,2025-11-22,AI Output,Medium,16.42,Closed
143,387,2026-08-01,Account,Critical,19.24,Resolved
144,98,2026-07-30,API,Low,21.93,Resolved
145,19,2026-03-06,API,Low,25.12,Closed
146,284,2025-06-03,Technical,Medium,7.39,In Progress
147,485,2026-08-24,Account,Low,17.05,Resolved
148,486,2025-06-18,AI Output,Medium,20.9,Resolved
149,228,2025-08-31,Technical,Low,4.11,Resolved
150,69,2025-04-20,Performance,Low,13.53,In Progress
151,296,2025-05-25,Billing,Low,6.57,Closed
152,106,2026-07-18,Performance,High,10.15,Closed
153,191,2026-05-07,Technical,Low,3.87,In Progress
154,270,2025-04-07,Billing,Critical,3.1,Closed
155,152,2026-05-29,API,Low,19.57,In Progress
156,208,2025-11-10,API,Medium,6.71,Resolved
157,148,2026-04-22,Account,Low,9.38,In Progress
158,271,2025-04-25,Performance,Low,18.21,In Progress
159,486,2025-08-31,Account,Medium,10.16,Resolved
160,410,2025-09-16,Performance,Medium,8.41,Resolved
161,108,2025-06-15,Performance,Medium,16.87,Resolved
162,239,2026-01-16,AI Output,Low,19.0,Closed
163,63,2026-03-15,Technical,High,9.07,Closed
164,458,2025-01-14,Account,Critical,7.25,Open
165,499,2025-06-07,Performance,Critical,3.59,Resolved
166,171,2025-04-17,Performance,Medium,7.95,Open
167,181,2026-03-18,Performance,Medium,5.95,Closed
168,438,2025-11-16,Technical,High,10.15,Open
169,213,2025-02-28,AI Output,Medium,15.6,Resolved
170,342,2025-08-01,Performance,Medium,14.73,In Progress
171,17,2025-11-01,AI Output,Medium,1.66,Resolved
172,270,2025-05-29,AI Output,Medium,7.71,Resolved
173,458,2026-06-07,API,Low,23.89,Resolved
174,403,2025-09-12,Billing,Medium,10.38,Resolved
175,124,2025-07-27,API,Medium,1.86,Open
176,155,2025-07-14,Performance,Low,15.44,Resolved
177,126,2026-06-16,Account,Critical,7.06,Resolved
178,303,2026-04-09,Performance,High,6.73,Closed
179,471,2025-10-19,Account,Medium,6.52,Closed
180,471,2026-03-28,Billing,High,17.85,Open
181,463,2025-03-12,Billing,Low,12.71,Open
182,83,2025-06-23,Billing,Low,4.7,Open
183,464,2025-04-11,Billing,High,9.95,Resolved
184,276,2025-05-25,Technical,Medium,13.51,In Progress
185,279,2026-06-11,AI Output,High,3.81,Closed
186,373,2025-11-13,AI Output,High,17.65,Resolved
187,413,2026-07-14,Billing,Medium,6.21,Resolved
188,162,2026-01-14,Account,Medium,6.1,Resolved
189,429,2026-01-26,Billing,Medium,1.29,Closed
190,102,2026-06-18,AI Output,Medium,11.24,Resolved
191,316,2025-06-11,API,High,4.97,Closed
192,336,2025-07-03,Billing,Medium,12.35,Resolved
193,106,2025-01-15,AI Output,Medium,3.76,Closed
194,80,2025-01-13,Technical,Low,9.39,Resolved
195,379,2026-02-20,Billing,Medium,6.76,Closed
196,411,2025-03-20,AI Output,Medium,27.07,Resolved
197,377,2025-08-19,API,Low,32.26,Closed
198,214,2025-01-11,Account,High,26.83,Resolved
199,61,2026-07-07,Performance,Medium,21.19,Resolved
200,169,2026-04-14,API,High,1.1,Closed
201,497,2026-01-07,API,High,18.08,Resolved
202,29,2025-04-13,Technical,Low,14.14,Resolved
203,249,2025-12-22,Account,Low,7.01,Closed
204,430,2026-05-19,API,Medium,21.52,Resolved
205,456,2025-09-22,Performance,High,15.67,Resolved
206,129,2025-01-10,Account,Medium,12.52,Resolved
207,377,2025-08-17,Performance,Medium,13.14,Resolved
208,423,2025-08-30,API,Critical,6.73,Closed
209,296,2025-03-04,Account,Low,12.36,Resolved
210,484,2025-03-05,Account,Medium,2.0,Resolved
211,426,2026-07-04,Technical,Medium,5.72,Resolved
212,352,2025-04-27,Account,Low,8.05,Resolved
213,67,2026-01-22,AI Output,Medium,2.66,Open
214,369,2026-01-26,Billing,Low,14.74,Resolved
215,277,2025-11-18,Performance,Low,2.11,Closed
216,367,2025-01-11,API,Medium,17.1,Closed
217,131,2026-01-02,Performance,Low,15.93,Resolved
218,9,2026-01-24,AI Output,Low,17.57,In Progress
219,167,2025-08-21,Performance,High,8.4,Resolved
220,248,2025-03-06,Performance,Medium,3.89,Resolved
221,311,2026-03-15,Performance,Medium,11.85,Resolved
222,413,2025-08-16,Technical,Medium,6.69,Closed
223,135,2025-08-25,Billing,Medium,10.32,In Progress
224,190,2025-07-08,Performance,Low,5.07,Resolved
225,231,2025-06-25,Technical,Medium,0.25,Closed
226,337,2025-09-19,AI Output,Medium,11.76,Resolved
227,364,2025-05-18,Technical,Low,16.12,Open
228,308,2026-06-09,Performance,Low,11.75,Resolved
229,130,2026-05-07,Billing,Medium,4.04,Closed
230,101,2025-07-04,Performance,Medium,7.0,Resolved
231,286,2025-06-05,Performance,Medium,8.73,Open
232,53,2025-05-16,Technical,High,9.57,Closed
233,419,2026-03-18,Billing,High,13.3,Resolved
234,18,2025-06-16,Billing,Medium,18.57,Resolved
235,457,2026-03-19,Account,Low,6.45,Closed
236,64,2025-07-18,Performance,Low,6.44,Open
237,31,2025-10-28,Billing,Low,13.73,In Progress
238,457,2026-05-23,API,Critical,19.88,Resolved
239,343,2025-02-07,Billing,Low,12.47,Resolved
240,408,2026-05-29,Performance,Medium,25.77,Closed
241,348,2026-05-11,Account,Medium,13.07,Closed
242,362,2026-03-27,Billing,Low,4.77,In Progress
243,358,2025-07-10,Technical,Medium,8.56,In Progress
244,339,2025-10-29,Account,Low,12.72,In Progress
245,29,2026-03-18,Account,Medium,17.73,Open
246,16,2025-01-09,AI Output,High,2.47,Resolved
247,357,2025-02-22,AI Output,Medium,7.19,Resolved
248,243,2026-04-08,AI Output,Low,3.83,Closed
249,207,2025-07-31,Technical,Medium,9.27,Open
250,188,2026-07-07,Billing,Medium,15.49,Closed
251,70,2025-03-24,Performance,High,8.39,Resolved
252,105,2026-01-03,Billing,Low,4.39,Resolved
253,251,2025-02-04,AI Output,High,5.27,Resolved
254,402,2025-02-14,Billing,Critical,18.02,Closed
255,163,2026-05-24,Billing,Medium,38.16,Closed
256,308,2026-08-31,Technical,Low,9.25,Closed
257,102,2026-01-24,API,Critical,9.97,Closed
258,100,2025-02-21,API,Medium,9.83,Resolved
259,483,2026-06-30,Billing,Medium,5.87,Resolved
260,278,2025-11-02,Billing,Medium,10.33,Resolved
261,357,2025-10-28,Technical,Low,3.77,Resolved
262,222,2026-05-02,API,Low,2.8,In Progress
263,357,2025-05-06,Performance,Medium,16.15,Closed
264,201,2025-06-03,Technical,Low,10.07,Resolved
265,421,2025-12-22,Billing,High,19.04,Resolved
266,441,2025-06-08,API,Low,6.89,Resolved
267,44,2025-04-29,Technical,Medium,12.49,Closed
268,467,2026-03-19,Technical,Low,3.28,Resolved
269,459,2026-06-05,API,Critical,5.34,Resolved
270,332,2025-05-24,Account,High,16.86,Open
271,53,2025-03-24,Billing,Low,5.07,Resolved
272,378,2025-07-25,Technical,Low,3.41,Resolved
273,112,2025-10-30,Account,Low,11.49,Closed
274,348,2026-03-29,Billing,Low,12.65,Closed
275,125,2025-05-11,API,Medium,4.68,Closed
276,376,2025-05-21,AI Output,Critical,12.07,Open
277,74,2025-09-07,Account,Low,9.14,Resolved
278,62,2025-07-20,Billing,Low,5.22,Closed
279,57,2026-07-23,API,Medium,11.46,Resolved
280,57,2025-12-13,Performance,Low,16.65,Closed
281,421,2025-04-02,Account,Medium,35.63,Resolved
282,123,2025-08-10,Performance,High,1.12,Closed
283,201,2026-02-16,AI Output,High,2.08,Closed
284,458,2026-04-07,API,Medium,7.27,Closed
285,53,2025-02-19,Account,Low,9.76,Resolved
286,56,2026-08-06,Account,Critical,13.1,Resolved
287,380,2025-06-24,Account,High,10.14,Closed
288,238,2026-04-02,Performance,Critical,4.06,Resolved
289,252,2026-04-19,Account,Medium,7.92,Closed
290,387,2025-08-05,AI Output,Low,5.93,Resolved
291,434,2025-12-29,Technical,Medium,21.09,Resolved
292,249,2026-06-11,Account,Low,16.49,Closed
293,198,2025-09-26,Billing,Medium,11.93,Resolved
294,249,2025-04-17,Technical,Low,6.43,Resolved
295,443,2025-01-13,Account,Low,5.5,Resolved
296,448,2025-05-20,Technical,Low,6.21,Resolved
297,287,2026-03-02,Technical,Medium,9.49,Resolved
298,196,2025-12-17,Performance,Low,7.65,Resolved
299,370,2025-02-18,Technical,Low,15.8,Resolved
300,216,2025-09-03,Billing,Low,3.69,Resolved
301,326,2025-04-09,Technical,Medium,13.42,Resolved
302,437,2026-05-27,API,Medium,15.47,Resolved
303,79,2025-12-21,Billing,Low,8.07,Resolved
304,150,2026-05-25,Technical,Low,10.46,Closed
305,176,2025-08-08,API,Medium,21.69,Resolved
306,289,2025-09-25,Billing,Low,10.04,Closed
307,321,2025-06-25,Account,Low,26.55,Resolved
308,137,2025-02-28,Performance,High,3.18,Resolved
309,424,2026-02-27,API,Low,13.78,In Progress
310,45,2025-05-02,Performance,Low,32.3,Resolved
311,71,2026-06-24,Account,Low,21.18,Resolved
312,452,2026-02-12,AI Output,Medium,8.86,Resolved
313,162,2025-01-03,API,High,2.33,Resolved
314,169,2025-12-19,API,Low,3.45,Resolved
315,492,2026-06-12,Performance,High,8.38,Resolved
316,314,2025-05-25,Technical,Medium,36.26,Resolved
317,272,2026-07-03,Account,Low,6.67,In Progress
318,3,2025-07-31,Billing,Medium,13.91,Closed
319,115,2025-05-19,AI Output,Medium,2.25,Resolved
320,483,2025-02-12,Account,Low,10.31,Closed
321,68,2025-04-30,Performance,High,12.75,Closed
322,149,2025-09-30,Billing,Medium,5.83,In Progress
323,459,2026-05-18,Billing,Medium,5.52,Open
324,384,2025-04-17,AI Output,Medium,14.97,Closed
325,102,2026-02-05,AI Output,High,6.16,Closed
326,430,2025-01-05,Technical,High,7.72,In Progress
327,147,2025-09-22,Billing,Medium,10.5,Resolved
328,467,2026-06-26,Account,Low,5.08,Open
329,449,2026-06-15,API,Low,15.63,Resolved
330,206,2026-08-03,Technical,Medium,12.6,Closed
331,135,2025-09-06,Performance,High,3.11,In Progress
332,424,2025-08-30,Performance,Medium,4.85,Resolved
333,46,2025-10-26,AI Output,High,9.31,Closed
334,125,2025-08-16,Account,Low,9.62,Resolved
335,289,2025-10-10,AI Output,Low,2.94,Closed
336,444,2025-05-10,AI Output,High,19.59,Resolved
337,115,2026-08-03,AI Output,Medium,9.75,Resolved
338,485,2025-07-19,Technical,Medium,27.19,Closed
339,92,2025-12-09,Billing,Medium,9.41,Resolved
340,97,2026-01-09,API,High,10.09,Closed
341,469,2026-07-10,API,Critical,6.49,Resolved
342,109,2025-05-20,Performance,Medium,12.4,Resolved
343,243,2026-07-22,Performance,Medium,8.69,Resolved
344,306,2025-01-05,Account,Low,12.59,Closed
345,392,2026-07-11,Billing,Medium,8.66,Resolved
346,373,2025-08-12,Account,Critical,10.19,Resolved
347,301,2026-06-09,Account,Medium,21.93,Resolved
348,381,2026-01-08,Technical,Low,11.86,Closed
349,423,2025-08-11,API,Medium,24.68,Resolved
350,101,2025-05-11,AI Output,Medium,5.0,Open
351,265,2026-06-13,API,Medium,11.8,Closed
352,139,2026-02-23,AI Output,High,2.04,In Progress
353,228,2025-07-31,Technical,Low,10.76,Resolved
354,118,2025-10-14,API,Medium,8.28,Resolved
355,33,2025-05-01,AI Output,Critical,4.23,Resolved
356,261,2026-03-07,Billing,Medium,12.61,Resolved
357,467,2025-10-09,Technical,Critical,12.53,Resolved
358,362,2025-06-01,API,Low,4.75,Resolved
359,96,2025-01-24,Account,Low,0.94,Closed
360,23,2025-04-25,Performance,High,7.43,Closed
361,140,2026-03-27,Technical,High,6.22,Closed
362,273,2025-10-18,Performance,Low,11.72,Resolved
363,137,2025-04-01,Technical,Low,9.59,Resolved
364,255,2025-02-11,API,Critical,7.63,Resolved
365,21,2025-10-08,API,Low,5.42,Resolved
366,55,2026-07-21,AI Output,Medium,12.5,Closed
367,172,2025-05-08,Billing,Low,8.59,Closed
368,245,2025-07-02,Technical,High,9.17,Closed
369,254,2026-02-24,Account,Medium,6.63,In Progress
370,330,2025-06-29,Billing,Low,3.15,Resolved
371,340,2025-09-18,API,Medium,11.84,Resolved
372,286,2025-04-12,Technical,Low,11.09,Closed
373,473,2026-05-05,Billing,High,21.66,Resolved
374,72,2025-10-01,AI Output,Low,17.08,Closed
375,53,2025-10-17,Performance,Low,8.06,Resolved
376,368,2026-06-30,API,High,2.11,Closed
377,142,2026-04-19,AI Output,Medium,1.84,Open
378,392,2025-07-30,Performance,Low,3.79,Resolved
379,261,2025-12-26,Billing,Medium,12.76,Open
380,263,2025-02-12,Performance,Low,16.1,Closed
381,391,2025-03-20,Billing,Low,18.96,Resolved
382,13,2025-12-04,AI Output,Medium,5.83,Resolved
383,486,2025-01-10,Account,Low,5.5,Resolved
384,339,2026-04-08,Billing,High,23.31,Closed
385,56,2025-01-02,Billing,Medium,9.36,In Progress
386,93,2025-05-26,Billing,Low,3.63,Resolved
387,128,2026-06-23,AI Output,Low,4.73,Resolved
388,382,2025-01-04,Account,Medium,22.47,Closed
389,468,2025-12-27,AI Output,Low,4.25,Resolved
390,194,2025-04-20,Performance,Low,25.15,Resolved
391,56,2025-02-26,Technical,Critical,11.19,Resolved
392,251,2026-05-09,Account,Medium,13.45,Resolved
393,441,2026-05-18,Account,Low,16.55,Open
394,358,2025-03-18,API,Medium,13.16,Closed
395,41,2026-07-03,Technical,Medium,4.72,Resolved
396,25,2026-05-22,API,Medium,21.98,Closed
397,384,2026-03-25,Account,Medium,12.07,Closed
398,137,2026-05-08,API,Low,8.91,Closed
399,383,2025-05-10,Performance,Low,10.39,Resolved
400,302,2026-04-07,API,Medium,10.15,Resolved
401,357,2025-09-07,Billing,Low,14.12,Open
402,65,2025-03-13,AI Output,Low,8.62,Resolved
403,280,2025-01-14,Billing,Low,2.25,Resolved
404,260,2025-12-01,Account,Low,9.03,Resolved
405,284,2025-12-02,AI Output,Low,9.15,Resolved
406,335,2025-06-30,Performance,Medium,6.83,Resolved
407,481,2025-07-13,API,Low,22.31,Resolved
408,301,2025-02-28,Billing,High,8.43,Resolved
409,355,2025-04-08,Billing,Low,24.17,Closed
410,257,2026-04-18,Technical,High,21.0,Resolved
411,314,2026-04-11,API,Low,23.61,Resolved
412,132,2025-03-26,Performance,Medium,11.85,Resolved
413,218,2025-11-29,Billing,Low,16.79,Resolved
414,253,2025-02-11,Performance,Low,13.75,Closed
415,384,2025-07-24,Performance,High,2.2,Resolved
416,440,2026-07-01,Billing,Medium,3.04,Open
417,184,2026-07-10,Account,High,9.89,Resolved
418,463,2026-04-18,AI Output,High,27.08,Resolved
419,232,2026-05-22,Performance,Medium,10.89,Closed
420,99,2025-07-12,Billing,Medium,4.57,Resolved
421,193,2026-04-15,Billing,Low,8.99,Resolved
422,420,2026-06-07,API,Medium,7.32,Resolved
423,500,2026-07-11,API,Low,11.59,Resolved
424,344,2025-03-06,Account,Low,2.17,Resolved
425,46,2025-11-29,AI Output,Low,11.14,Resolved
426,348,2026-04-12,API,Medium,8.71,Resolved
427,131,2026-05-20,API,High,19.09,In Progress
428,489,2025-03-25,API,Low,11.38,Closed
429,14,2025-05-01,Billing,Medium,17.04,Resolved
430,450,2026-04-12,API,High,12.04,Closed
431,375,2025-08-27,AI Output,High,5.15,Closed
432,335,2026-01-30,Billing,Medium,3.06,Closed
433,334,2026-02-04,Account,Critical,6.81,Closed
434,46,2025-04-06,Technical,Low,21.75,Resolved
435,450,2026-05-06,Technical,Medium,7.87,Closed
436,486,2025-04-26,Account,Medium,3.84,Resolved
437,371,2025-12-07,Technical,Medium,12.15,Closed
438,215,2025-09-07,Billing,Low,10.98,Resolved
439,287,2025-02-15,Billing,Low,4.39,Closed
440,86,2025-09-01,Technical,Low,10.39,Resolved
441,389,2026-07-11,Billing,High,4.95,In Progress
442,8,2025-11-27,Technical,Low,7.63,Resolved
443,150,2025-07-12,Billing,Medium,7.26,Closed
444,287,2025-07-12,Performance,Medium,2.17,Resolved
445,412,2025-07-27,API,High,15.52,Resolved
446,464,2025-12-25,Billing,High,6.46,In Progress
447,188,2026-08-25,Billing,Medium,8.74,Resolved
448,445,2025-09-03,Technical,Medium,21.76,Resolved
449,65,2025-10-31,Performance,Medium,14.24,Resolved
450,50,2025-04-13,AI Output,High,9.66,Closed
451,58,2025-05-10,AI Output,Low,6.5,Resolved
452,319,2026-02-05,Technical,Low,2.22,Resolved
453,184,2026-08-19,Account,High,8.01,Closed
454,256,2026-08-31,API,Medium,3.38,Closed
455,48,2025-09-09,Account,Low,21.87,Resolved
456,440,2025-02-14,Billing,Medium,12.78,Resolved
457,241,2025-02-11,Performance,Low,8.11,In Progress
458,257,2026-03-16,Technical,Low,2.24,Resolved
459,365,2025-07-13,Performance,High,4.99,Resolved
460,240,2026-06-08,Billing,Medium,14.06,Closed
461,432,2025-10-17,Technical,Critical,7.13,Open
462,216,2025-07-07,AI Output,High,9.37,In Progress
463,436,2025-11-09,API,Medium,8.84,Open
464,256,2025-11-12,Billing,Medium,6.65,Resolved
465,229,2025-02-01,API,Medium,7.49,Resolved
466,274,2026-01-22,Technical,Low,6.71,Resolved
467,486,2025-04-20,Billing,Medium,12.45,Resolved
468,288,2026-07-23,Technical,High,16.85,Resolved
469,464,2025-07-28,Billing,Low,2.23,Resolved
470,88,2026-03-28,Account,Low,4.22,In Progress
471,290,2026-02-05,Technical,Medium,7.12,Resolved
472,369,2026-01-28,API,Low,6.2,Resolved
473,5,2026-01-12,AI Output,Low,16.43,Resolved
474,315,2025-06-16,Technical,Low,7.59,Closed
475,373,2025-02-22,AI Output,Low,15.81,Closed
476,68,2025-08-03,API,High,10.17,Resolved
477,55,2026-03-30,Account,Medium,16.84,Closed
478,332,2025-05-30,Billing,Low,9.81,Closed
479,392,2025-12-26,API,High,5.7,Resolved
480,483,2025-10-20,API,Critical,6.92,Closed
481,424,2026-04-20,API,High,5.21,Resolved
482,68,2026-06-12,Technical,Low,8.36,Open
483,416,2025-08-09,Account,Low,9.02,Closed
484,350,2025-06-19,AI Output,High,5.24,Closed
485,331,2025-07-08,AI Output,Low,7.03,Resolved
486,424,2025-08-09,Technical,Medium,7.86,Resolved
487,282,2026-01-08,AI Output,Low,17.24,Resolved
488,219,2026-01-01,Performance,Medium,15.9,Resolved
489,39,2025-10-16,Billing,Low,7.5,Open
490,366,2025-12-08,Account,High,4.7,Resolved
491,341,2025-07-10,Billing,Medium,18.74,Resolved
492,181,2025-02-20,Billing,Medium,10.2,Open
493,256,2025-03-30,Performance,Low,7.86,Closed
494,375,2025-06-10,AI Output,Medium,6.67,Resolved
495,375,2025-11-06,Technical,Low,2.36,Resolved
496,426,2026-02-01,Account,Low,16.28,Resolved
497,492,2026-02-16,AI Output,Medium,16.9,In Progress
498,91,2025-12-09,Account,Medium,21.69,Closed
499,460,2025-05-16,Performance,Low,6.15,Resolved
500,229,2026-06-23,Billing,High,36.93,Closed
501,385,2025-12-20,Technical,Medium,5.12,Resolved
502,118,2026-03-23,Performance,Medium,7.22,Resolved
503,61,2026-05-29,Account,High,15.44,Resolved
504,413,2025-07-26,Technical,Low,9.45,Closed
505,394,2025-11-05,API,Medium,14.39,Closed
506,350,2026-04-10,AI Output,High,1.68,Resolved
507,442,2026-08-17,Account,Medium,12.44,In Progress
508,497,2026-04-03,Account,Medium,17.09,Resolved
509,329,2026-08-14,Account,High,4.43,Open
510,425,2025-02-03,API,Medium,11.01,Open
511,30,2025-09-21,Performance,Medium,31.55,Resolved
512,99,2025-08-28,Billing,Low,5.48,Resolved
513,115,2025-11-22,Billing,Low,3.85,Resolved
514,382,2025-03-30,API,Low,19.0,Closed
515,467,2026-03-10,Account,Low,8.18,Resolved
516,498,2025-08-26,Account,Medium,9.2,Resolved
517,53,2025-10-27,Account,Medium,7.03,Open
518,49,2025-02-12,AI Output,Medium,6.5,Resolved
519,316,2026-08-01,AI Output,Low,6.46,Closed
520,471,2025-11-21,AI Output,Low,7.85,Resolved
521,256,2026-06-17,Billing,Medium,9.8,In Progress
522,211,2025-03-02,Performance,Medium,19.92,Resolved
523,369,2025-09-26,API,Low,8.73,In Progress
524,474,2026-03-01,Technical,Low,13.17,Open
525,274,2026-04-07,API,Medium,18.32,In Progress
