usage_id,customer_id,usage_date,ai_requests,active_users,api_calls,hours_saved
48,424,2025-08-10,829,17,336,20.6
49,13,2025-02-22,840,23,320,9.62
50,87,2026-07-19,791,13,306,11.99
51,339,2026-02-02,841,31,322,13.31
52,464,2026-06-22,869,17,318,14.1
53,127,2025-01-05,823,15,318,13.62
54,135,2025-12-03,866,19,326,11.7
55,431,2025-01-30,826,10,315,14.75
56,430,2025-11-04,859,12,309,18.66
57,147,2026-05-17,879,18,310,10.94
58,320,2025-04-10,904,11,347,21.29
59,55,2025-02-16,925,14,304,5.96
60,478,2025-08-04,851,23,339,13.79
61,472,2025-06-28,814,13,316,15.34
62,483,2025-09-17,828,15,308,11.53
63,443,2025-04-22,907,21,311,14.93
64,113,2026-03-02,846,19,323,8.05
65,318,2025-11-19,855,20,306,17.91
66,435,2025-06-06,875,17,319,17.98
67,47,2025-03-19,837,18,290,12.2
68,285,2026-03-29,823,14,352,8.3
69,94,2025-12-01,804,10,292,18.32
70,249,2025-11-05,834,27,327,4.76
71,237,2025-09-03,781,14,323,18.96
72,402,2025-12-03,836,15,354,18.94
73,275,2026-02-10,845,23,313,8.07
74,497,2026-08-13,865,26,321,13.39
75,338,2025-10-29,823,27,354,14.17
76,125,2025-08-15,864,19,314,6.04
77,295,2025-01-24,876,16,289,8.86
78,215,2025-03-24,829,21,317,15.71
79,427,2026-02-08,888,16,317,10.19
80,410,2026-05-17,898,15,300,13.63
81,369,2025-12-29,848,15,303,12.69
82,435,2026-05-19,825,21,315,14.51
83,410,2025-10-18,876,17,312,8.17
84,271,2025-07-03,877,18,335,8.84
85,35,2025-10-06,869,23,293,14.83
86,191,2025-06-09,826,16,301,9.29
87,93,2026-04-07,857,28,323,12.09
88,401,2026-05-16,800,18,333,17.74
89,23,2025-03-30,916,15,332,13.33
90,175,2026-06-16,886,19,296,11.67
91,154,2025-04-03,821,13,313,8.31
92,375,2025-06-17,869,23,305,16.99
93,488,2026-08-11,840,10,340,10.07
94,359,2025-07-07,847,18,329,9.75
95,373,2026-05-26,833,14,296,11.76
96,233,2025-07-29,897,12,292,11.59
97,124,2025-02-02,898,15,354,11.78
98,304,2026-08-07,794,25,305,5.41
99,71,2026-07-25,861,27,326,18.31
100,217,2026-05-11,882,19,335,16.01
101,298,2026-03-03,863,18,300,8.68
102,129,2025-02-16,832,13,347,15.87
103,442,2025-10-02,860,17,358,20.01
104,121,2025-07-04,788,15,292,9.52
105,460,2026-03-26,861,25,307,18.44
106,345,2025-01-04,834,21,315,6.37
107,308,2026-07-23,826,14,318,7.35
108,141,2025-07-30,839,22,315,17.85
109,351,2025-07-24,852,23,301,10.66
110,235,2026-02-03,895,22,354,22.05
111,256,2025-12-01,902,16,299,17.27
112,10,2025-03-11,850,24,356,10.83
113,340,2025-06-21,906,19,327,11.42
114,31,2026-02-25,827,19,320,4.75
115,179,2026-06-10,859,12,290,7.05
116,244,2025-05-15,861,13,330,21.31
117,316,2025-04-06,884,19,335,14.61
118,364,2026-03-08,844,16,326,18.08
119,252,2026-08-29,834,14,297,8.0
120,98,2025-12-16,878,26,297,10.83
121,74,2025-08-04,883,17,317,10.82
122,351,2025-09-26,830,19,331,10.23
123,248,2025-01-31,868,20,344,4.4
124,145,2026-08-04,864,18,350,6.06
125,397,2026-08-07,879,11,315,9.9
126,491,2025-06-29,874,19,283,15.87
127,414,2026-05-09,872,13,318,20.74
128,291,2026-07-07,790,25,354,4.55
129,496,2026-03-17,831,19,321,5.63
130,188,2026-01-07,836,20,313,17.42
131,389,2025-12-14,830,17,321,8.75
132,471,2026-06-05,804,19,314,15.09
133,455,2026-04-17,845,21,304,9.17
134,191,2025-08-13,832,20,315,4.84
135,184,2026-01-26,804,18,324,16.93
136,244,2025-07-22,822,21,297,6.38
137,286,2025-11-05,866,21,354,5.35
138,422,2026-05-13,857,20,314,10.07
139,137,2025-06-25,864,19,300,16.72
140,443,2025-08-21,844,18,311,7.77
141,4,2025-01-26,867,16,331,6.83
142,156,2026-04-23,829,16,317,5.86
143,300,2025-06-27,790,23,326,14.01
144,362,2025-06-23,867,23,343,18.68
145,249,2026-05-06,842,17,276,16.51
146,279,2025-03-24,832,20,323,4.3
147,477,2026-08-03,848,15,298,17.44
148,128,2025-10-24,862,16,347,16.2
149,345,2026-07-15,863,14,330,8.41
150,409,2025-01-10,834,21,302,13.75
151,287,2025-09-22,863,15,342,14.06
152,309,2026-06-08,833,26,318,19.16
153,34,2025-09-26,869,24,303,6.32
154,94,2025-08-25,829,14,333,7.74
155,103,2025-11-21,820,12,317,6.05
156,102,2025-02-13,908,14,307,17.16
157,148,2025-05-01,810,16,345,17.94
158,331,2026-02-05,874,19,317,15.99
159,97,2025-05-11,818,15,329,17.98
160,401,2025-11-24,854,21,351,16.75
161,87,2025-02-07,914,13,297,17.63
162,220,2026-04-21,883,17,317,14.36
163,40,2025-08-28,892,15,317,10.01
164,285,2026-07-22,837,18,319,15.76
165,409,2026-07-06,882,14,334,15.27
166,489,2025-04-01,838,23,317,9.25
167,451,2026-03-11,835,21,291,18.61
168,30,2026-06-19,887,21,352,21.58
169,437,2025-03-11,896,24,321,16.28
170,219,2025-05-11,895,14,321,20.88
171,38,2026-02-06,872,25,302,7.61
172,55,2026-06-03,878,17,338,8.67
173,428,2025-05-26,780,13,297,17.67
174,26,2026-02-21,907,20,304,17.16
175,118,2025-09-05,911,27,294,5.75
176,209,2026-06-25,827,16,337,9.19
177,240,2025-06-04,930,22,293,8.37
178,162,2025-07-31,804,26,325,10.55
179,308,2025-10-07,818,22,356,7.67
180,465,2025-06-13,910,11,369,12.05
181,400,2026-03-12,830,17,359,10.02
182,278,2025-04-10,872,21,300,12.89
183,217,2026-08-02,806,21,332,14.48
184,247,2025-02-19,809,19,310,16.24
185,230,2025-01-08,824,21,307,15.99
186,189,2025-08-07,862,17,320,15.95
187,272,2026-01-30,838,15,334,9.63
188,208,2026-06-24,818,19,320,19.25
189,3,2025-09-04,841,20,325,14.45
190,247,2025-08-01,904,21,308,17.57
191,133,2025-12-15,843,15,289,13.67
192,39,2026-05-08,888,16,290,12.01
193,101,2026-05-10,832,14,318,5.6
194,51,2026-05-28,812,10,308,14.75
195,58,2025-02-19,910,14,330,10.96
196,35,2025-12-23,817,9,321,18.02
197,119,2026-08-29,913,22,321,5.14
198,75,2025-06-16,834,20,317,12.93
199,23,2025-06-15,875,12,341,9.02
200,291,2025-07-11,888,20,276,5.09
201,198,2026-05-27,859,20,328,5.65
202,126,2025-05-06,861,15,313,5.92
203,472,2026-08-08,873,7,334,5.39
204,326,2026-01-16,819,14,321,12.22
205,376,2025-08-25,862,16,324,14.94
206,254,2026-08-09,861,16,344,9.31
207,459,2026-03-14,828,11,306,17.32
208,40,2026-04-20,890,21,322,21.53
209,303,2025-04-16,859,23,318,17.41
210,486,2025-04-16,866,14,308,6.53
211,19,2026-06-02,808,21,314,18.54
212,96,2025-04-15,859,20,289,15.13
213,291,2026-04-11,935,25,333,20.62
214,441,2025-08-14,788,21,302,4.84
215,63,2025-10-10,873,17,296,4.37
216,40,2025-07-22,795,22,303,12.6
217,285,2025-07-08,811,10,315,18.59
218,183,2025-05-30,830,17,290,16.49
219,183,2025-09-07,870,20,303,10.82
220,337,2026-01-19,818,13,321,10.67
221,476,2025-02-07,862,20,339,16.7
222,195,2026-04-21,886,15,316,20.29
223,317,2025-10-08,875,20,324,16.4
224,411,2026-04-16,815,21,319,16.74
225,180,2026-07-23,803,13,316,13.51
226,89,2025-10-18,828,13,294,8.12
227,36,2025-06-08,856,13,315,10.6
228,147,2025-04-29,833,15,314,16.05
229,154,2026-06-12,825,17,293,14.75
230,402,2025-01-18,856,13,320,5.87
231,381,2026-05-14,832,13,308,17.14
232,391,2025-01-15,786,17,295,15.88
233,245,2026-05-17,870,19,343,18.72
234,198,2026-06-24,817,24,309,7.48
235,29,2025-12-13,857,22,283,8.91
236,160,2026-06-01,851,11,329,7.04
237,445,2026-05-04,814,21,333,20.09
238,134,2025-07-12,904,15,329,9.86
239,22,2025-01-17,834,13,333,16.11
240,38,2026-03-15,842,20,329,12.58
241,64,2025-07-28,865,18,320,18.83
242,371,2025-10-18,845,19,320,15.19
243,347,2026-02-11,835,22,324,19.49
244,150,2025-06-27,882,21,293,7.8
245,209,2025-02-06,837,22,299,19.76
246,54,2025-10-31,851,21,314,8.05
247,244,2026-06-12,859,24,294,7.15
248,207,2026-06-20,828,18,305,14.64
249,483,2026-05-24,846,20,328,20.64
250,307,2026-04-25,843,21,293,11.78
251,50,2025-01-24,806,18,317,17.14
252,317,2025-05-11,859,20,284,13.63
253,141,2025-11-16,829,14,334,7.48
254,211,2025-09-07,819,12,327,12.98
255,249,2025-03-04,834,21,333,6.74
256,216,2026-04-16,851,22,319,5.57
257,43,2025-10-30,859,25,311,13.67
258,22,2026-01-16,841,18,311,19.69
259,381,2025-06-01,856,14,326,16.93
260,262,2025-11-26,843,10,321,6.8
261,410,2026-05-01,876,13,309,13.56
262,448,2025-03-13,861,18,329,5.74
263,6,2025-04-11,840,11,315,9.87
264,231,2025-10-19,818,17,315,14.02
265,82,2025-09-24,864,17,320,6.41
266,204,2026-07-10,861,16,313,14.08
267,498,2026-05-15,860,22,303,4.9
268,236,2025-02-15,816,22,289,13.37
269,329,2025-04-20,843,21,324,14.41
270,30,2026-05-22,816,18,337,14.33
271,431,2025-08-13,856,21,328,9.43
272,259,2026-02-27,847,18,319,12.15
273,469,2025-07-16,864,18,314,15.06
274,100,2025-11-16,875,20,307,14.12
275,388,2025-02-20,854,14,291,12.11
276,345,2025-07-19,879,15,316,5.53
277,229,2025-03-07,848,21,323,18.01
278,265,2026-06-16,833,17,314,4.87
279,448,2026-05-01,869,12,363,5.08
280,293,2025-02-16,802,14,344,12.29
281,254,2026-05-07,818,12,342,10.28
282,7,2025-01-07,868,18,281,7.67
283,195,2025-11-18,840,18,303,16.34
284,270,2025-12-31,830,13,321,11.27
285,458,2025-11-12,859,17,317,10.51
286,349,2025-05-07,859,17,328,14.83
287,470,2025-01-22,850,13,330,16.9
288,62,2025-07-06,893,25,342,12.25
289,5,2026-02-12,885,12,303,20.94
290,110,2025-02-21,850,17,331,12.75
291,258,2025-06-19,851,28,306,6.53
292,482,2025-06-15,906,21,289,13.54
293,301,2025-07-22,842,13,289,5.12
294,424,2026-05-10,865,19,315,8.08
295,98,2025-08-30,866,13,312,8.52
296,40,2025-10-24,853,22,342,9.36
297,404,2026-03-06,862,14,299,12.69
298,372,2025-06-27,827,38,337,10.6
299,1,2026-02-27,835,16,286,16.41
300,375,2025-09-26,844,16,312,15.65
301,228,2025-12-05,862,16,339,7.11
302,389,2025-06-18,852,13,315,10.33
303,419,2026-02-21,888,21,330,5.49
304,499,2026-06-11,876,16,338,11.23
305,215,2026-08-29,879,15,292,8.93
306,102,2026-02-21,832,16,314,18.76
307,269,2025-02-15,805,15,292,7.73
308,14,2025-07-12,867,19,298,21.54
309,101,2026-02-26,797,24,317,16.28
310,246,2026-06-11,867,18,321,7.55
311,408,2025-12-14,833,24,320,4.31
312,380,2026-08-01,860,17,328,18.37
313,210,2025-06-21,854,18,303,17.12
314,332,2026-01-05,880,15,317,14.46
315,177,2025-04-05,824,20,302,6.76
316,30,2025-09-06,807,17,328,19.92
317,248,2026-05-02,863,22,309,15.4
318,201,2026-07-21,804,21,331,8.23
319,246,2026-06-21,928,20,331,22.31
320,2,2025-12-10,817,16,346,7.99
321,266,2025-07-24,824,21,313,16.03
322,380,2025-04-04,836,26,323,8.38
323,100,2026-07-28,785,14,325,18.62
324,266,2025-10-25,826,15,277,15.72
325,149,2025-04-08,824,11,314,12.66
326,376,2026-03-03,839,16,284,20.25
327,145,2025-11-20,809,15,327,5.57
328,54,2026-04-23,871,20,349,6.59
329,53,2026-01-05,846,16,323,16.45
330,292,2025-12-16,859,21,339,5.99
331,104,2026-02-18,837,21,317,17.24
332,335,2025-01-05,820,19,319,6.19
333,346,2026-02-26,860,16,328,16.38
334,151,2025-06-22,905,24,303,18.17
335,166,2025-10-07,836,19,322,19.25
336,72,2026-08-14,817,14,296,5.86
337,330,2025-04-01,849,14,316,15.07
338,1,2025-12-28,829,24,340,9.81
339,351,2025-07-05,849,12,329,10.99
340,49,2025-03-19,896,17,315,6.38
341,203,2026-05-04,834,15,334,12.81
342,161,2026-01-04,864,22,333,17.63
343,180,2026-03-12,864,14,314,12.02
344,89,2025-12-05,827,20,325,15.89
345,474,2025-05-20,875,20,329,13.79
346,28,2025-05-25,841,19,316,12.04
347,476,2025-08-16,849,18,295,10.93
348,404,2026-04-22,834,22,355,17.84
349,227,2025-06-01,883,18,311,13.14
350,499,2026-02-20,908,27,312,18.53
351,387,2025-07-04,886,19,306,11.09
352,327,2025-01-31,836,20,312,4.49
353,59,2026-01-12,872,14,344,14.08
354,185,2026-03-11,843,16,345,7.21
355,469,2025-06-20,867,15,314,6.62
356,483,2026-05-05,860,24,302,13.0
357,216,2025-12-10,896,27,324,11.31
358,389,2026-01-08,886,24,371,15.06
359,404,2025-05-04,809,16,329,5.28
360,487,2026-04-23,840,25,305,14.0
361,102,2025-09-22,845,19,298,17.31
362,342,2025-10-19,837,18,352,19.37
363,386,2025-09-02,845,18,346,14.95
364,270,2025-07-08,781,22,320,6.26
365,382,2025-05-28,855,15,328,12.58
366,433,2026-05-20,885,14,297,17.88
367,435,2026-03-17,856,16,341,10.73
368,106,2026-04-12,833,16,312,10.93
369,207,2025-08-19,845,21,317,13.58
370,429,2025-04-17,838,18,273,9.3
371,428,2025-10-16,885,20,317,14.83
372,233,2025-05-08,850,10,321,10.49
373,273,2026-05-01,826,15,343,13.41
374,292,2026-01-03,847,18,339,15.33
375,305,2026-08-31,859,23,325,14.24
376,1,2026-02-28,878,14,321,20.86
377,326,2025-07-16,832,15,313,14.63
378,163,2025-05-08,895,20,323,17.53
379,398,2026-03-11,804,18,305,9.78
380,327,2025-02-05,894,18,340,21.21
381,470,2025-06-11,882,18,341,18.31
382,148,2026-07-08,879,22,337,9.08
383,221,2026-04-13,820,28,347,7.52
384,112,2025-05-28,868,19,309,20.88
385,4,2026-02-06,841,11,363,14.99
386,218,2025-03-01,904,15,297,21.03
387,117,2025-08-14,907,15,340,19.98
388,262,2025-12-16,813,20,321,6.27
389,327,2025-02-18,858,16,301,13.77
390,11,2025-11-27,869,19,314,21.49
391,204,2025-11-09,819,16,328,8.36
392,77,2025-05-16,807,21,319,13.38
393,352,2025-04-03,840,21,280,5.65
394,106,2026-05-27,855,27,311,11.07
395,112,2025-01-23,878,23,322,4.85
396,365,2025-06-21,878,10,305,16.06
397,354,2025-11-12,887,14,329,9.66
398,92,2025-02-06,815,17,314,7.7
399,113,2025-06-22,857,21,319,15.49
400,118,2026-08-28,858,22,334,17.54
401,27,2025-12-27,808,17,326,8.74
402,158,2025-08-04,834,22,315,14.16
403,164,2025-02-16,876,21,277,6.78
404,346,2025-03-17,878,24,324,15.8
405,369,2026-06-04,870,21,318,18.85
406,371,2025-02-05,819,19,325,8.75
407,3,2026-08-30,889,12,297,11.12
408,44,2025-09-21,827,15,325,18.25
409,30,2026-01-19,832,21,321,16.31
410,92,2026-05-18,830,23,307,7.86
411,289,2026-04-03,858,13,353,13.67
412,451,2026-08-15,872,20,307,13.07
413,163,2025-04-04,916,19,310,6.22
414,127,2026-02-23,865,17,313,11.72
415,480,2026-08-29,848,23,344,6.59
416,229,2026-01-28,877,22,298,20.1
417,196,2025-04-30,832,20,334,11.86
418,235,2025-06-05,879,23,329,14.22
419,203,2026-01-14,864,23,324,11.14
420,75,2026-04-03,806,23,345,11.99
421,214,2025-07-05,878,22,328,5.99
422,127,2026-07-05,833,17,333,12.62
423,421,2026-07-08,839,24,305,18.36
424,102,2026-07-31,820,14,312,9.3
425,131,2025-09-20,846,16,324,15.06
426,457,2025-08-01,861,22,342,5.8
427,269,2026-06-23,867,13,336,6.46
428,321,2025-10-18,884,17,350,11.39
429,252,2025-10-11,870,13,324,20.49
430,161,2025-07-08,826,18,274,13.45
431,496,2025-08-13,817,25,326,9.61
432,380,2025-04-24,842,20,325,18.5
433,167,2025-08-09,857,11,312,21.14
434,484,2025-12-15,819,18,339,16.13
435,294,2026-06-23,811,19,361,10.12
436,75,2025-06-04,847,18,304,4.84
437,475,2026-01-02,770,19,320,15.52
438,473,2025-07-11,928,22,322,18.71
439,241,2026-07-12,912,22,334,4.62
440,58,2025-05-13,794,15,331,13.7
441,263,2026-05-10,835,12,342,13.41
442,92,2025-03-28,851,19,341,4.35
443,176,2026-04-09,865,20,335,19.12
444,140,2026-02-12,837,10,285,15.74
445,488,2025-12-16,869,11,311,18.35
446,106,2025-11-02,868,16,320,16.56
447,112,2025-03-05,837,24,330,16.51
448,73,2026-01-25,845,20,314,5.03
449,333,2026-05-02,871,20,298,7.22
450,22,2025-06-21,818,21,325,18.33
451,192,2026-05-05,882,21,313,15.2
452,378,2025-01-08,862,17,315,7.2
453,44,2026-08-19,828,26,302,16.92
454,346,2025-10-26,814,7,297,4.33
455,10,2025-04-30,864,23,344,21.4
456,387,2025-07-24,827,23,293,20.58
457,375,2025-01-13,848,22,308,6.14
458,178,2026-01-30,825,22,306,20.2
459,404,2025-12-17,854,22,323,9.79
460,133,2026-01-28,837,17,288,11.24
461,458,2025-12-14,853,17,333,14.85
462,198,2025-10-10,883,13,323,14.46
463,242,2025-09-19,882,14,303,15.1
464,319,2025-07-30,843,22,326,18.53
465,192,2025-09-24,867,11,320,13.63
466,189,2026-04-09,821,19,329,16.08
467,435,2025-04-06,813,18,332,7.28
468,411,2026-06-09,856,22,311,12.61
469,30,2026-08-06,769,23,332,19.03
470,455,2026-01-30,882,16,327,17.32
471,266,2025-08-24,792,12,328,17.89
472,393,2026-04-05,826,17,327,19.33
473,349,2025-08-03,856,17,321,5.68
474,453,2026-02-09,842,19,327,10.9
475,58,2025-12-01,856,17,297,12.0
476,138,2025-06-26,901,14,368,20.31
477,382,2026-07-16,862,21,333,6.92
478,416,2026-06-19,879,19,307,17.47
479,490,2025-03-02,828,12,293,13.55
480,137,2025-07-23,826,16,355,12.63
481,275,2026-03-15,795,26,310,8.17
482,250,2025-06-22,854,18,323,16.01
483,101,2025-07-18,904,18,344,15.84
484,283,2026-04-27,933,11,300,19.99
485,164,2025-08-10,873,20,330,21.32
486,47,2025-12-08,834,16,327,5.77
487,430,2025-02-16,862,16,305,10.17
488,1,2026-01-14,885,21,322,21.36
489,475,2026-07-04,839,14,338,8.02
490,419,2025-04-23,830,13,285,13.68
491,107,2025-01-16,903,15,262,8.74
492,352,2025-04-02,876,16,318,8.08
493,490,2025-07-18,824,17,330,12.41
494,446,2026-07-02,884,20,346,12.34
495,215,2026-02-27,870,20,327,19.63
496,220,2025-07-18,859,12,275,9.34
497,270,2026-07-21,836,17,302,6.83
498,92,2025-12-31,842,20,326,6.2
499,352,2026-07-04,912,21,308,10.48
500,362,2025-01-23,853,19,351,11.68
501,305,2026-06-20,868,18,318,20.76
502,296,2025-11-12,892,13,307,10.14
503,210,2025-08-23,840,15,296,12.21
504,494,2025-02-22,816,21,303,13.68
505,426,2025-07-05,848,27,330,18.23
506,163,2026-07-31,825,16,310,6.62
507,37,2025-11-26,867,13,330,11.39
508,221,2026-05-18,846,20,331,15.8
509,246,2026-01-05,858,23,301,8.01
510,245,2025-08-25,865,21,319,10.3
511,216,2026-01-25,875,16,289,9.55
512,309,2026-05-22,861,19,334,6.63
513,33,2026-04-17,856,26,278,13.9
514,126,2025-10-12,872,18,321,10.38
515,126,2026-07-04,823,13,332,11.22
516,495,2025-12-25,846,13,359,13.18
517,283,2025-01-22,822,19,312,10.37
518,356,2025-01-30,888,25,332,20.76
519,457,2025-05-15,850,22,336,6.92
520,293,2026-01-14,861,16,317,20.46
521,173,2025-01-09,864,18,321,8.21
522,129,2025-02-01,867,13,333,9.23
523,102,2025-10-05,821,25,344,13.6
524,224,2025-05-24,872,22,314,16.76
525,217,2025-03-28,849,23,303,9.76
526,337,2026-05-01,836,18,339,13.13
527,230,2025-03-29,772,18,291,17.2
528,484,2025-11-23,844,22,311,7.99
529,275,2025-07-09,864,21,303,12.85
530,121,2025-09-06,858,20,308,13.88
531,427,2026-08-20,824,22,320,13.86
532,251,2025-02-12,916,20,312,10.47
533,336,2025-06-11,832,16,321,16.05
534,224,2025-10-28,840,18,301,12.78
535,178,2026-07-06,910,18,355,11.44
536,35,2026-04-06,898,22,319,15.69
537,468,2025-02-19,903,17,297,13.89
538,327,2025-10-11,876,20,332,8.75
539,374,2026-01-03,847,14,328,12.61
540,431,2025-08-05,830,24,299,17.01
541,402,2026-07-01,876,17,281,17.41
542,85,2025-08-26,859,19,305,4.55
543,127,2025-01-13,888,12,284,21.73
544,363,2025-02-15,836,13,320,19.17
545,380,2026-03-14,858,21,324,5.08
546,474,2025-05-05,860,17,333,10.54
547,472,2025-10-09,829,18,318,18.72
548,421,2026-01-01,818,23,296,4.84
549,98,2025-03-05,820,9,299,13.67
550,160,2026-06-12,855,14,323,5.53
551,235,2025-12-15,848,22,312,5.81
552,262,2026-01-24,888,15,321,15.6
553,245,2026-03-09,841,19,350,12.33
554,181,2026-05-18,836,16,330,20.21
555,282,2026-05-24,892,14,316,16.1
556,76,2026-08-31,836,18,333,8.09
557,459,2025-06-25,864,20,292,6.36
558,35,2026-07-08,829,13,338,4.88
559,247,2025-06-25,847,19,337,4.83
560,201,2026-03-21,863,17,314,13.93
561,164,2026-08-29,833,21,311,8.94
562,152,2025-09-08,879,17,353,17.63
563,133,2025-04-05,809,10,329,9.28
564,221,2025-02-04,887,22,339,16.82
565,303,2025-02-18,853,19,332,13.2
566,374,2025-09-19,798,25,350,6.86
567,462,2026-06-29,842,14,309,10.53
568,336,2025-09-01,859,18,306,19.6
569,333,2026-06-18,814,23,296,18.31
570,95,2025-11-24,876,23,319,4.95
571,240,2026-07-03,849,15,349,9.0
572,285,2025-10-05,802,24,330,11.53
573,480,2025-09-29,830,18,330,20.7
574,40,2025-10-20,821,15,327,6.9
575,174,2026-08-24,873,20,323,8.39
576,465,2025-03-26,876,15,337,13.54
577,303,2025-10-14,794,15,333,12.71
578,280,2026-05-13,822,20,318,16.31
579,442,2026-07-16,817,20,348,15.04
580,460,2026-01-09,896,20,320,19.78
581,488,2026-05-17,849,23,323,13.8
582,347,2025-01-01,883,22,334,7.08
583,171,2025-03-21,861,16,324,12.67
584,263,2026-06-11,868,22,296,9.17
585,24,2026-01-11,858,20,340,7.26
586,114,2026-07-04,856,18,353,7.92
587,378,2025-10-04,873,19,306,11.11
588,279,2025-09-11,854,15,337,5.6
589,7,2026-08-06,926,22,321,11.68
590,419,2025-11-19,908,27,309,17.7
591,147,2025-12-27,841,19,320,18.92
592,215,2026-07-02,821,17,316,16.12
593,109,2025-07-25,877,19,337,10.8
594,418,2025-07-30,828,22,315,17.63
595,341,2025-07-26,821,19,320,5.73
596,289,2026-02-06,822,22,327,11.6
597,18,2026-07-11,848,10,342,8.26
598,193,2025-11-15,828,21,328,5.59
599,488,2026-05-21,838,20,285,12.93
600,306,2025-01-06,879,25,285,18.76
601,278,2025-12-23,827,15,304,4.22
602,36,2026-03-16,851,25,328,11.39
603,380,2025-04-27,809,12,326,13.85
604,434,2025-07-30,900,22,301,9.77
605,250,2026-06-26,841,18,316,17.64
606,383,2026-02-04,873,25,291,15.36
607,9,2026-06-17,870,14,314,14.79
608,475,2026-03-19,858,17,328,6.53
609,412,2025-04-18,836,13,318,11.13
610,91,2026-05-16,880,15,338,18.43
611,112,2026-01-30,849,17,317,20.93
612,115,2025-05-16,867,20,316,9.5
613,333,2026-04-16,849,19,322,11.67
614,254,2026-04-24,780,17,322,12.12
615,332,2025-07-16,848,19,318,7.05
616,335,2025-05-05,860,19,318,8.82
617,289,2025-09-21,833,15,342,16.04
618,179,2026-02-12,837,23,319,7.93
619,286,2025-03-23,832,18,319,20.01
620,144,2026-02-27,827,13,329,18.51
621,394,2025-10-19,842,20,332,6.2
622,454,2025-05-09,874,17,328,16.76
623,204,2026-03-28,888,20,324,10.23
624,134,2025-09-30,839,19,326,4.82
625,59,2026-05-24,869,18,305,4.79
626,32,2026-04-13,794,23,315,14.84
627,96,2025-08-22,839,19,300,10.67
628,59,2025-09-28,825,16,286,10.76
629,382,2026-07-26,879,21,302,13.7
630,22,2026-02-25,874,23,317,9.97
631,116,2025-02-01,846,19,305,6.12
632,198,2025-02-04,874,16,311,21.27
633,45,2025-09-16,865,21,322,7.24
634,198,2026-07-01,864,18,307,17.82
635,163,2026-06-24,883,23,341,8.26
636,297,2025-12-06,904,17,338,6.04
637,339,2026-08-15,810,17,304,12.1
638,160,2025-10-25,817,20,331,9.39
639,387,2025-01-23,896,19,304,6.09
640,303,2026-07-05,846,15,341,9.43
641,477,2025-07-26,881,14,326,5.25
642,82,2026-03-16,898,12,319,15.3
643,86,2025-07-18,837,11,289,19.35
644,38,2025-12-29,846,18,342,17.06
645,353,2025-11-28,836,23,324,17.37
646,22,2026-05-31,841,13,315,6.04
647,499,2025-10-21,801,13,290,5.3
648,127,2025-09-28,802,24,303,7.52
649,47,2026-01-09,849,19,337,7.62
650,322,2025-07-30,873,20,349,6.78
651,159,2026-06-16,846,26,326,13.97
652,400,2025-03-25,835,13,337,6.93
653,94,2026-05-23,850,22,310,5.0
654,322,2026-05-17,823,28,324,20.34
655,198,2025-10-03,884,18,332,22.08
656,97,2026-08-17,852,21,289,7.7
657,273,2025-05-31,832,17,292,7.98
658,49,2025-01-13,850,23,298,16.77
659,136,2025-05-19,806,11,300,9.43
660,204,2026-08-04,887,20,311,13.73
661,186,2025-03-29,847,13,337,18.5
662,186,2025-11-17,834,13,326,19.51
663,368,2026-06-12,866,18,318,15.29
