subscription_id,customer_id,plan_id,start_date,end_date,subscription_status
196,196,3,2026-01-09,,Active
197,197,3,2026-06-16,2026-07-31,Cancelled
198,198,2,2026-03-02,,Active
199,199,4,2025-07-23,2026-04-29,Cancelled
200,200,1,2025-01-02,,Active
201,201,2,2025-03-24,2025-10-02,Cancelled
202,202,3,2024-11-27,,Active
203,203,1,2026-06-27,,Active
204,204,2,2026-01-26,,Active
205,205,2,2025-10-18,,Active
206,206,1,2024-05-02,,Active
207,207,2,2025-09-01,,Active
208,208,4,2024-08-06,2025-06-30,Cancelled
209,209,3,2025-10-15,,Active
210,210,2,2026-06-26,,Active
211,211,4,2024-05-31,,Active
212,212,4,2024-05-28,,Active
213,213,3,2025-07-01,2026-01-05,Cancelled
214,214,2,2025-04-26,2026-03-05,Cancelled
215,215,1,2024-10-12,,Active
216,216,3,2025-01-02,,Active
217,217,2,2026-02-09,,Active
218,218,3,2024-07-28,,Active
219,219,3,2025-09-17,,Active
220,220,1,2025-10-23,,Active
221,221,3,2026-03-18,,Active
222,222,1,2026-01-21,2026-06-11,Cancelled
223,223,3,2025-08-29,,Active
224,224,1,2025-09-07,2025-11-25,Paused
225,225,3,2024-07-17,,Active
226,226,1,2024-04-01,2025-05-28,Cancelled
227,227,2,2024-11-08,,Active
228,228,2,2026-02-04,2026-11-27,Cancelled
229,229,1,2024-04-05,,Active
230,230,2,2024-06-19,,Active
231,231,1,2025-02-27,,Active
232,232,2,2025-10-13,,Active
233,233,2,2024-12-16,,Active
234,234,2,2024-02-17,,Active
235,235,2,2024-07-17,2025-08-14,Cancelled
236,236,2,2025-09-24,,Active
237,237,2,2026-06-29,,Active
238,238,2,2026-02-01,,Active
239,239,1,2024-11-30,,Active
240,240,1,2025-10-25,,Active
241,241,3,2026-06-27,,Active
242,242,1,2025-10-15,,Active
243,243,3,2025-05-19,,Active
244,244,2,2024-02-18,2024-08-29,Cancelled
245,245,2,2025-08-09,,Active
246,246,1,2025-02-14,,Active
247,247,2,2025-08-06,,Active
248,248,2,2026-04-21,,Active
249,249,1,2024-01-05,2024-03-08,Cancelled
250,250,2,2025-03-15,2025-04-23,Paused
251,251,3,2024-01-27,,Active
252,252,2,2024-07-30,,Active
253,253,3,2025-11-13,2026-07-13,Cancelled
254,254,1,2024-06-04,2025-08-07,Paused
255,255,2,2025-07-20,,Active
256,256,1,2025-11-04,,Active
257,257,2,2024-11-26,,Active
258,258,1,2026-04-14,2026-06-26,Cancelled
259,259,2,2024-01-29,,Active
260,260,1,2024-06-23,2025-06-27,Cancelled
261,261,2,2025-10-21,2026-04-20,Cancelled
262,262,4,2025-05-10,,Active
263,263,2,2025-11-03,,Active
264,264,3,2025-09-19,,Active
265,265,2,2025-10-13,2026-06-22,Cancelled
266,266,1,2026-02-28,,Active
267,267,2,2025-06-08,,Active
268,268,1,2025-09-06,,Active
269,269,3,2026-03-16,,Active
270,270,1,2025-05-06,2026-03-19,Cancelled
271,271,3,2024-08-12,,Active
272,272,1,2025-01-23,,Active
273,273,2,2024-02-29,,Active
274,274,2,2024-04-30,,Active
275,275,2,2026-05-28,,Active
276,276,3,2024-10-19,,Active
277,277,1,2026-03-16,,Active
278,278,4,2024-02-28,,Active
279,279,2,2026-06-18,,Active
280,280,1,2025-06-13,,Active
281,281,3,2024-09-06,,Active
282,282,4,2025-04-23,,Active
283,283,3,2025-10-25,2026-04-21,Cancelled
284,284,2,2025-01-19,,Active
285,285,2,2024-03-01,2024-12-03,Cancelled
286,286,1,2026-06-21,,Active
287,287,3,2025-05-30,,Active
288,288,3,2025-12-30,2026-10-27,Cancelled
289,289,2,2026-05-30,,Active
290,290,1,2025-01-17,2026-02-01,Cancelled
291,291,1,2026-03-14,2026-09-01,Cancelled
292,292,1,2024-05-26,2025-04-29,Cancelled
293,293,1,2025-09-13,2026-04-10,Cancelled
294,294,2,2024-07-23,2024-11-11,Paused
295,295,1,2024-12-17,,Active
296,296,4,2026-03-16,,Active
297,297,3,2026-03-14,,Active
298,298,3,2024-08-05,2025-05-06,Cancelled
299,299,3,2025-03-22,,Active
300,300,2,2025-11-25,,Active
301,301,4,2024-12-10,,Active
302,302,4,2025-08-19,,Active
303,303,4,2026-01-18,,Active
304,304,1,2024-08-06,,Active
305,305,1,2024-09-01,,Active
306,306,2,2024-03-24,,Active
307,307,2,2026-01-15,2026-05-31,Paused
308,308,1,2024-12-29,,Active
309,309,2,2024-04-08,,Active
310,310,2,2026-03-04,2027-03-14,Paused
311,311,3,2025-10-07,,Active
312,312,3,2026-02-24,,Active
313,313,1,2026-06-13,,Active
314,314,2,2024-07-18,,Active
315,315,1,2024-06-20,,Active
316,316,1,2025-02-16,,Active
317,317,1,2026-04-17,,Active
318,318,1,2024-08-18,,Active
319,319,1,2025-01-11,2026-03-25,Paused
320,320,1,2024-02-16,,Active
321,321,3,2025-05-12,,Active
322,322,3,2024-05-16,,Active
323,323,2,2025-06-06,,Active
324,324,1,2025-01-03,,Active
325,325,1,2024-03-07,,Active
326,326,3,2025-06-01,,Active
327,327,1,2025-04-27,2025-07-25,Cancelled
328,328,3,2026-04-16,,Active
329,329,1,2026-03-17,,Active
330,330,2,2026-03-13,,Active
331,331,3,2024-01-16,,Active
332,332,3,2025-01-22,,Active
333,333,2,2025-12-14,,Active
334,334,2,2025-09-02,,Active
335,335,2,2025-08-02,,Active
336,336,1,2024-07-09,2025-07-21,Cancelled
337,337,2,2024-08-10,2025-03-28,Cancelled
338,338,2,2026-05-27,,Active
339,339,3,2025-12-14,,Active
340,340,2,2024-06-04,2024-09-06,Cancelled
341,341,1,2025-07-27,2026-08-10,Cancelled
342,342,1,2026-03-04,,Active
343,343,2,2024-07-05,,Active
344,344,2,2024-10-10,,Active
345,345,1,2025-06-05,,Active
346,346,3,2024-05-18,,Active
347,347,2,2024-01-31,,Active
348,348,3,2024-08-28,2025-04-20,Cancelled
349,349,2,2025-12-25,,Active
350,350,3,2025-06-27,2026-08-22,Cancelled
351,351,2,2026-04-02,2026-09-01,Cancelled
352,352,2,2025-04-04,2026-03-16,Cancelled
353,353,4,2025-01-03,,Active
354,354,3,2024-12-22,,Active
355,355,2,2025-07-13,2026-01-20,Cancelled
356,356,3,2026-03-01,,Active
357,357,2,2024-02-27,2024-05-05,Cancelled
358,358,1,2024-07-02,2025-02-12,Cancelled
359,359,1,2024-05-27,,Active
360,360,2,2025-04-06,,Active
361,361,2,2025-08-27,,Active
362,362,3,2025-08-31,,Active
363,363,2,2025-08-16,2025-11-06,Cancelled
364,364,2,2026-03-22,2026-06-23,Cancelled
365,365,2,2024-07-22,,Active
366,366,1,2024-10-10,,Active
367,367,1,2025-01-11,2025-12-29,Cancelled
368,368,1,2025-08-21,,Active
369,369,2,2026-05-09,,Active
370,370,2,2024-02-14,,Active
371,371,1,2024-05-08,,Active
372,372,2,2025-05-17,,Active
373,373,1,2025-12-14,,Active
374,374,3,2026-02-09,,Active
375,375,3,2024-09-11,,Active
376,376,3,2025-05-29,,Active
377,377,3,2024-06-23,,Active
378,378,3,2026-06-05,2027-03-04,Cancelled
379,379,2,2025-01-14,,Active
380,380,1,2024-05-27,,Active
381,381,2,2026-06-23,,Active
382,382,3,2024-09-03,,Active
383,383,1,2025-06-12,2025-10-14,Cancelled
384,384,3,2026-06-28,,Active
385,385,2,2025-08-29,2026-07-15,Cancelled
386,386,1,2025-01-21,,Active
387,387,2,2025-08-29,,Active
388,388,2,2026-05-06,2027-07-16,Cancelled
389,389,2,2025-04-28,,Active
390,390,1,2025-07-22,2025-12-27,Cancelled
391,391,2,2026-05-05,,Active
392,392,1,2025-12-20,,Active
393,393,3,2026-01-07,,Active
394,394,1,2024-03-31,,Active
395,395,3,2025-04-02,,Active
396,396,2,2024-06-19,,Active
397,397,2,2024-10-16,2025-05-06,Paused
398,398,1,2024-07-03,,Active
399,399,2,2024-02-11,,Active
400,400,2,2026-05-27,,Active
401,401,3,2026-01-02,,Active
402,402,1,2025-08-25,2026-10-24,Cancelled
403,403,2,2025-01-29,,Active
404,404,3,2025-09-05,2026-08-30,Paused
405,405,2,2026-01-07,,Active
406,406,3,2024-02-11,,Active
407,407,4,2024-03-02,,Active
408,408,1,2024-04-14,2025-04-04,Cancelled
409,409,3,2024-12-21,,Active
410,410,2,2025-01-23,2025-04-23,Paused
411,411,1,2026-04-04,2027-06-11,Cancelled
412,412,1,2024-06-12,2025-08-20,Cancelled
413,413,2,2024-08-13,,Active
414,414,2,2026-05-28,,Active
415,415,4,2024-07-26,,Active
416,416,2,2025-06-19,,Active
417,417,1,2024-07-31,,Active
418,418,1,2026-04-19,,Active
419,419,4,2024-11-20,,Active
420,420,4,2026-03-16,,Active
421,421,1,2025-06-18,,Active
422,422,2,2024-09-01,2024-10-08,Paused
423,423,3,2025-07-12,,Active
424,424,2,2026-05-02,,Active
425,425,1,2025-06-07,,Active
426,426,2,2024-11-21,,Active
427,427,2,2025-10-17,,Active
428,428,1,2025-11-03,2026-12-20,Cancelled
429,429,2,2025-03-01,,Active
430,430,2,2025-11-03,,Active
431,431,1,2025-11-23,2026-12-20,Cancelled
432,432,1,2025-11-26,,Active
433,433,2,2024-04-28,,Active
434,434,3,2025-06-25,2025-11-09,Cancelled
435,435,3,2025-10-19,,Active
436,436,1,2024-11-09,2025-07-15,Paused
437,437,1,2025-09-19,,Active
438,438,3,2025-04-14,,Active
439,439,1,2024-11-08,2025-01-07,Cancelled
440,440,1,2024-12-28,,Active
441,441,4,2024-06-09,,Active
442,442,1,2024-10-23,,Active
443,443,1,2025-10-07,,Active
444,444,3,2024-12-08,2025-11-29,Cancelled
445,445,1,2024-12-18,2025-03-06,Paused
446,446,3,2024-03-16,,Active
447,447,1,2024-10-18,2025-06-25,Cancelled
448,448,2,2025-10-16,,Active
449,449,1,2026-05-10,2027-02-11,Cancelled
450,450,2,2025-10-14,2026-12-06,Cancelled
451,451,2,2025-04-20,,Active
452,452,1,2025-07-27,2025-09-30,Cancelled
453,453,3,2025-12-04,2026-04-22,Cancelled
454,454,1,2024-08-04,,Active
455,455,1,2026-06-15,,Active
456,456,2,2025-02-14,,Active
457,457,2,2024-07-08,,Active
458,458,3,2025-10-03,2025-11-05,Cancelled
459,459,4,2025-11-11,,Active
460,460,4,2024-04-27,,Active
461,461,3,2025-06-19,,Active
462,462,2,2025-10-03,,Active
463,463,3,2024-08-03,,Active
464,464,3,2024-11-06,,Active
465,465,3,2025-10-26,,Active
466,466,1,2024-06-24,2025-07-27,Cancelled
467,467,2,2024-06-20,2025-08-09,Cancelled
468,468,2,2024-07-25,,Active
469,469,1,2024-01-16,2025-01-20,Cancelled
470,470,1,2025-04-07,2026-02-22,Cancelled
471,471,1,2024-08-17,,Active
472,472,1,2024-05-24,2025-06-24,Paused
473,473,3,2025-09-13,,Active
474,474,1,2024-03-22,,Active
475,475,1,2024-01-21,2024-05-10,Cancelled
476,476,2,2025-08-09,,Active
477,477,1,2025-01-16,2026-01-29,Cancelled
478,478,2,2025-10-18,,Active
479,479,2,2025-06-03,,Active
480,480,1,2025-11-27,,Active
481,481,3,2024-08-03,,Active
482,482,4,2026-05-02,,Active
483,483,2,2025-02-06,,Active
484,484,3,2025-12-19,2026-06-28,Cancelled
485,485,1,2025-04-07,,Active
486,486,3,2024-02-24,,Active
487,487,3,2024-09-12,,Active
488,488,3,2025-04-05,,Active
489,489,2,2025-05-28,2026-06-01,Paused
490,490,2,2024-03-23,,Active
491,491,3,2025-11-25,,Active
492,492,1,2025-01-25,,Active
493,493,2,2025-06-17,,Active
494,494,3,2025-01-26,,Active
495,495,2,2025-06-11,,Active
496,496,2,2025-02-21,2025-07-01,Cancelled
497,497,2,2025-10-31,,Active
498,498,3,2024-03-19,,Active
499,499,2,2025-06-19,,Active
500,500,1,2025-06-05,,Active
501,253,1,2025-10-02,,Active
502,466,2,2024-02-13,,Active
503,96,4,2024-05-14,,Active
504,461,1,2026-06-22,,Active
505,218,1,2025-07-07,,Active
506,113,1,2025-06-19,,Active
507,170,1,2026-01-09,,Active
508,93,2,2026-01-08,,Active
509,277,4,2024-09-18,,Active
510,84,1,2025-10-11,,Active
511,236,2,2024-05-05,,Active
512,88,2,2024-06-06,2025-03-02,Paused
513,230,2,2024-04-23,,Active
514,372,1,2025-11-14,,Active
515,402,3,2026-04-21,,Active
516,425,4,2024-05-05,,Active
517,187,2,2025-07-19,2026-06-12,Cancelled
518,235,1,2024-08-07,,Active
519,254,2,2024-12-24,,Active
520,165,1,2024-02-10,2024-12-20,Cancelled
521,365,2,2024-05-14,,Active
522,234,2,2025-05-30,2025-07-20,Paused
523,187,1,2024-06-20,,Active
524,379,1,2024-06-18,,Active
525,86,1,2024-12-14,2026-02-24,Cancelled
526,281,1,2024-11-11,,Active
527,428,1,2024-10-22,2025-04-26,Cancelled
528,121,1,2026-03-13,,Active
529,8,2,2026-06-27,,Active
530,251,2,2025-04-18,,Active
531,99,1,2025-06-23,2025-10-27,Cancelled
532,51,3,2024-01-30,2024-12-02,Cancelled
533,152,1,2025-08-07,,Active
534,88,1,2025-05-02,,Active
535,140,1,2025-05-16,,Active
536,130,3,2025-07-14,2026-02-19,Cancelled
537,336,2,2024-07-31,,Active
538,131,1,2024-03-24,2025-01-07,Cancelled
539,265,2,2024-06-21,,Active
540,202,2,2024-06-07,,Active
541,417,1,2024-04-19,,Active
542,312,3,2026-02-23,2027-03-16,Cancelled
543,6,1,2024-03-20,2025-03-05,Cancelled
544,291,4,2024-08-28,,Active
545,302,1,2025-09-26,,Active
546,374,2,2025-02-15,,Active
547,230,1,2026-05-25,,Active
548,406,2,2025-04-25,2026-01-02,Cancelled
549,299,2,2026-05-31,2026-12-22,Cancelled
550,499,1,2026-01-04,,Active
551,228,3,2024-03-15,,Active
552,271,4,2025-10-29,2026-02-02,Cancelled
553,77,3,2025-01-02,,Active
554,331,2,2025-09-27,2026-05-23,Cancelled
555,388,3,2024-08-20,,Active
556,291,1,2026-01-29,,Active
557,219,4,2025-06-06,,Active
558,348,3,2026-02-13,,Active
559,211,1,2025-07-11,2025-08-30,Cancelled
560,455,2,2026-06-10,2026-07-25,Paused
561,69,3,2025-07-07,,Active
562,202,2,2025-05-05,,Active
563,339,2,2025-04-22,,Active
564,439,1,2025-07-29,,Active
565,339,2,2026-03-01,2027-03-16,Cancelled
566,425,1,2024-10-12,,Active
567,493,2,2025-12-05,,Active
568,465,2,2024-12-05,,Active
569,267,3,2025-09-28,,Active
570,197,1,2024-11-04,,Active
571,21,1,2024-04-06,2025-01-26,Cancelled
572,224,1,2026-06-26,,Active
573,281,3,2025-01-02,2025-04-28,Cancelled
574,274,2,2025-12-15,,Active
575,185,1,2024-03-17,2025-04-11,Cancelled
576,348,1,2026-01-08,,Active
577,339,1,2025-11-05,2026-03-22,Cancelled
578,375,3,2025-08-08,,Active
579,468,3,2026-06-01,2027-03-20,Cancelled
580,462,1,2024-05-24,2024-11-26,Cancelled
581,145,3,2025-01-06,,Active
582,312,1,2024-03-18,2025-02-15,Paused
583,171,3,2025-11-12,,Active
584,428,3,2025-12-29,,Active
585,371,2,2025-09-16,,Active
586,379,2,2025-07-31,2025-09-24,Cancelled
587,402,1,2025-07-07,,Active
588,269,2,2024-10-25,,Active
589,109,1,2024-11-25,,Active
590,460,2,2026-06-29,,Active
591,95,3,2024-09-10,,Active
592,316,3,2024-07-11,,Active
593,361,2,2025-04-07,2025-10-11,Paused
594,210,3,2025-03-19,,Active
595,269,1,2024-07-10,,Active
596,108,1,2024-03-27,,Active
597,408,1,2025-02-08,,Active
598,467,2,2025-08-04,,Active
599,317,2,2025-07-04,,Active
600,322,2,2024-06-19,,Active
601,10,2,2025-10-01,,Active
602,458,1,2025-08-25,,Active
603,434,3,2026-01-04,,Active
604,428,1,2026-06-27,,Active
605,122,1,2024-09-04,,Active
606,422,2,2024-06-29,,Active
607,225,3,2024-11-18,2025-03-02,Cancelled
608,446,2,2024-09-12,,Active
609,38,2,2025-10-19,2026-11-14,Cancelled
610,247,2,2025-01-07,,Active
611,298,2,2025-12-20,,Active
612,417,2,2025-05-04,,Active
613,311,1,2025-03-16,,Active
614,230,3,2025-04-06,2025-12-09,Cancelled
615,33,3,2025-07-21,,Active
616,319,2,2024-07-26,,Active
617,57,2,2025-11-07,,Active
618,394,1,2025-02-03,2025-11-24,Cancelled
619,74,2,2026-03-14,,Active
620,127,2,2026-04-19,2027-05-20,Cancelled
621,391,1,2025-05-10,,Active
622,69,4,2024-11-10,,Active
623,401,3,2024-05-22,,Active
624,476,2,2024-11-08,,Active
625,264,2,2024-05-18,2025-05-12,Paused
626,496,1,2024-12-31,,Active
627,126,2,2024-06-05,,Active
628,429,2,2025-12-21,2026-03-14,Cancelled
629,463,1,2024-11-11,2025-11-24,Paused
630,417,3,2025-03-30,,Active
631,51,2,2024-09-02,,Active
632,115,2,2024-01-04,,Active
633,293,2,2025-03-02,2026-04-14,Cancelled
634,132,1,2026-03-12,,Active
635,211,2,2024-06-19,,Active
636,31,2,2024-02-03,,Active
637,464,2,2025-11-07,,Active
638,393,2,2026-06-28,,Active
639,33,1,2024-05-02,,Active
640,315,2,2025-12-20,,Active
641,68,1,2024-05-07,,Active
642,216,2,2026-03-29,,Active
643,407,1,2024-12-14,,Active
644,117,2,2025-11-09,,Active
645,67,3,2025-05-18,,Active
646,108,2,2026-01-07,,Active
647,128,1,2024-01-04,,Active
648,393,1,2026-02-19,,Active
649,21,1,2025-08-18,,Active
650,489,1,2026-01-17,,Active
